PLACE,GLOB_ID,RELATION,RELATED_PLACE,RELATED_GLOB_ID,RELATION_REMARKS,SOURCE,SOURCE_PAGE,,CHECKED?,
Nedungad (Island) (),NR_214_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kadamakudi (),NR_69,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Cheria Kadamakudi (),NR_80,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Ochanthuruth (),NR_72,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Vallarpadam (Church) (),NR_74_HUM_1,Part Of,Wallarpat Island (),NR_74_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
"Our Lady of Health, Saude (Church) ()",NR_233,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Palluruthy (Point) (),NR_77_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,"The place in question is shown to be part of the ""landen van den Koning van Cochim."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Edakochi (Island) (),NR_240_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Toyakkavu (),NR_36,Part Of,Mysuru (Kingdom) (),GLOB_397_HUM_1,"According to the map, this place was part of the ""Landen van den Nabab Heider Alichan, Vor Deesen Behoorende Aan den Koning van Sammorijn"" (i.e. ""Lands of the Nawab Heider Alichan, Before These Belonging to the King of Zamorin""). 'Heider Alichan' means Hyder Ali, the Nawab of Mysuru.","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Poelicarro (Pollicarro),GLOB_670,Part Of,Mysuru (Kingdom) (),GLOB_397_HUM_1,"According to the map, this place was part of the ""Landen van den Nabab, voordeezen toebehoorende aan den Samoryn"" (i.e. ""Lands of the Nawab, previously belonging to the Zamorin""). 'The Nawab' referred to here was Hyder Ali, ruler of the Kingdom of Mysuru.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kadakkarapally (Church) (),NR_88_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
"St. Andrew's Basilica, Arthunkal ()",NR_229,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Aryad (Village) (),NR_94_HUM_2,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Ambanakulangara (Temple) (),NR_93_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Arattupuzha (Alappuzha) (),NR_107,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Enamākkal (),GLOB_326,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Muttichur  (),NR_35,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Edattirutti (),NR_48,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Chentrappinni (),NR_42,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Chalingad (),NR_187,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Puthiyakavu (),NR_189,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Perinjanam (),NR_49,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Ponmanikkudam (),NR_53,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kannamkulangara (),NR_192,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Thruppekkulam (),NR_55,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Mathilakam (),NR_44,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Bettumanoe (),NR_197,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kollam (kingdom) (),GLOB_38_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used of the Kollam kingdom in the map is ""'T Rijck van Signatty."" The map shows the presence of certain kingdoms such as the Kollam kingdom as featuring within the domains of the Kingdom of Tranvancore. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kayamkulam (kingdom) (),GLOB_26_HUM_2,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The Kayamkulam kingdom is shown to be part of the Kingdom of Travancore. The label used in the map to denote the kingdom of Kayamkulam is ""T Land van Calicoijlang."" ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Thekkumkur (Kingdom) (),GLOB_427_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used for the Tekkumkur kingdom is ""T Land van Teckencoor."" The Tekkumkur kingdom is shown to be part of the Kingdom of Travancore. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Vechoor (),NR_98,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used for Vechoor is ""T Land Bitjoer."" Vechoor is shown to be part of the Kingdom of Travancore. The political character of the place Vechoor is unclear. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Vadakkumkur (Principality) (),GLOB_17_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used is ""T Land van Bercencoor,"" and it is shown to be part of the Kingdom of Travancore. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Edappalli (Kingdom) (),GLOB_214_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Paravur (Kingdom) (),NR_105_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used is ""Landen van Paroe,"" which are shown to be part of the Kingdom of Travancore. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Airur (Kingdom) (),GLOB_283_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,"The label used is ""T Rijk van Aijroer,"" and it is shown to be part of the Kingdom of Travancore. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Madaplathuruth (Fortification) (),NR_64_HUM_1,Part Of,Airur (Kingdom) (),GLOB_283_HUM_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Talecare (),NR_60,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Anjikaimal (),GLOB_211,Part Of,Edappalli (Kingdom) (),GLOB_214_HUM_1,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Thamaravattom (),NR_212,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kumbalam (),NR_78,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,"The label used for Kumbalam on the map is ""T Land Combalom"", and it is shown to be part of the ""Landen van den Koning van Cochim"".",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Azhikod (guard post) (),GLOB_508_HUM_2,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Palluruthy (Cochin) (),NR_77,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kleijn Aywike (Church) (),NR_23_HUM_2,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Cheriyazheekal (),NR_24,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Cheriyazheekal (Temple) (),NR_24_HUM_1,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Cheriyazheekal (Island) (),NR_24_GEO_1,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Azheekal (Kollam) (),GLOB_528,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Manielle (),NR_211,Part Of,Vypin Island (),GLOB_10_GEO_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Manappally (Kollam) (),NR_27,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,FALSE,checked
Palederi (),NR_162,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Mulamkadakam (Temple) (),NR_164_HUM_1,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Kallumadam-Valiyavattom (),NR_213,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Vadanappally (),NR_29,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kallumadam-Valiyavattom (island) (),NR_213_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Vadanappally (Guard post) (),NR_29_HUM_1,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Edassery (),NR_179,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Ponnani (),GLOB_366,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Ponnani (Pananie on the map) is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Cherkara (),NR_32,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Nedungad (),NR_214,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Narakal (),NR_217,Part Of,Vypin Island (),GLOB_10_GEO_1,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Thruppekkulam (Temple) (),NR_55_HUM_1,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Pullut  (),NR_58,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Tjenkado (),NR_188,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Pullut (Temple) (),NR_58_HUM_1,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Kodakara (),NR_190,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Triprayar (Temple) (),NR_33_HUM_1,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Narakal (Village) (),NR_217_HUM_1,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Muttichur (Tollhouse) (),NR_35_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Panangad (),NR_194,Part Of,Pappinivattom (VOC Administered Area) (),GLOB_752_HUM_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Barkur (),NR_218,Part Of,Mangaluru (Kingdom) (),GLOB2_1528_HUM_ 2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Mangaluru (Port city) (),GLOB2_1528_HUM_ 1,Part Of,Kanara (Kingdom) (),GLOB_500_HUM_1,,Een Mallabars Woordenboek,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0413,,FALSE,checked
Mangaluru (Kingdom) (),GLOB2_1528_HUM_ 2,Part Of,Kanara (),GLOB_500,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Azhikkal (City) (),GLOB_176_HUM_1,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"Johann Hübner (de Jonge), Algemeene geographie, of Beschryving des geheelen aardryks",211,,FALSE,checked
St: Jago (Cochin) (),NR_250,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Toyakkavu (Tollhouse) (),NR_36_HUM_1,Part Of,Mysuru (Kingdom) (),GLOB_397_HUM_1,"According to the map, this place was part of the ""Landen van den Nabab, voordeezen toebehoorende aan den Samoryn"" (i.e. ""Lands of the Nawab, previously belonging to the Zamorin""). 'The Nawab' referred to here was Hyder Ali, ruler of the Kingdom of Mysuru.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
St: Jago (Church) (),NR_250_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_229 De Ware Afbeelding van de Lage Landen Der Kust Malabaar Enz., Beginnende Boven de Fortresse Crangapoor En Strekt Tot Verby de Fortresse Coylang Enz.",,,FALSE,checked
Kollam (city) (),GLOB_38_HUM_2,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,,Generale Missiven vol. 4,737,,FALSE,checked
Thalassery (European settlement) (),GLOB_461_HUM_1,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Vypin (Church) (),GLOB_10_HUM_1,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Pathiramanal (),NR_230,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Alappuzha (),GLOB_521,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Pulikkakadavu (Guard post) (),GLOB_670_HUM_1,Part Of,Mysuru (Kingdom) (),GLOB_397_HUM_1,"According to the map, this place was part of the ""Landen van den Nabab, voordeezen toebehoorende aan den Samoryn"" (i.e. ""Lands of the Nawab, previously belonging to the Zamorin""). 'The Nawab' referred to here was Hyder Ali, ruler of the Kingdom of Mysuru.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Cheleri (),NR_222,Part Of,Kozhikode (kingdom) (),GLOB2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Ariebaron (),NR_223,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Basrūr (),GLOB2_1206,Part Of,Bhatkal (Kingdom) (),NR_251_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Basrur (European Settlement) (),GLOB2_1206_HUM_1,Part Of,Bhatkal (Kingdom) (),NR_251_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Alappuzha (Fort) (),GLOB_521_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Alappuzha (Village) (),GLOB_521_HUM_2,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Bhatkal (Kingdom) (),NR_251_HUM_2,Part Of,Kanara (),GLOB_500,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Alappuzha (Temple) (),GLOB_521_HUM_3,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Mahe (European settlement) (),GLOB2_1274_HUM_1,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"Johann Hübner (de Jonge), Algemeene geographie, of Beschryving des geheelen aardryks",211,,FALSE,checked
Vizhinjam (),NR_236,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,FALSE,checked
William Fort (Chettuva) (),GLOB2_1503,Part Of,Chetwayi (),GLOB_710,The map indicates that Fort William (Fort Wilhelmus in the map) was located in Chettua (Chetwayi). ,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
